ITEM_ID,USER_ID,TIMESTAMP,CABIN_TYPE,EVENT_VALUE,EVENT_TYPE
-2996180203100007228,8120125224640029423,1428624000,Economy,7.0,RATING
-2996180203100007228,-8997174881451465988,1420416000,Business Class,10.0,RATING
-2996180203100007228,3602718016963732378,1410652800,Economy,9.0,RATING
-2996180203100007228,6212763696935475375,1409961600,Business Class,8.0,RATING
-2996180203100007228,-4925871864349442642,1402876800,Economy,4.0,RATING
-2996180203100007228,6631403573584542461,1402185600,Economy,9.0,RATING
-2996180203100007228,1548559059496594397,1401580800,Economy,5.0,RATING
-2996180203100007228,-3356667049466598448,1399680000,Economy,9.0,RATING
-2996180203100007228,6212763696935475375,1389571200,Business Class,8.0,RATING
-2996180203100007228,-3356667049466598448,1388966400,Economy,10.0,RATING
-2996180203100007228,6418736681056630111,1382400000,Economy,9.0,RATING
-2996180203100007228,-6963191411433589110,1377648000,Economy,7.0,RATING
-2996180203100007228,6957534426011455000,1376870400,Economy,8.0,RATING
-2996180203100007228,6212763696935475375,1376870400,Business Class,7.0,RATING
-2996180203100007228,9214887185790598262,1370822400,Business Class,7.0,RATING
-2996180203100007228,1548559059496594397,1369612800,Economy,5.0,RATING
-2996180203100007228,-2993905251124127743,1349654400,Economy,9.0,RATING
-2996180203100007228,-916376169174235262,1341360000,Economy,5.0,RATING
-2996180203100007228,-1310472891842528314,1339891200,Economy,5.0,RATING
-2996180203100007228,-774960808304592454,1339459200,Economy,8.0,RATING
-2996180203100007228,514258882116369235,1329350400,Economy,9.0,RATING
-2996180203100007228,-6558894746376914310,1326758400,Economy,5.0,RATING
-2996180203100007228,2693516647609159644,1316476800,Economy,9.0,RATING
-2996180203100007228,-8633461294494895210,1315872000,Business Class,9.0,RATING
-2996180203100007228,-3136508758393350565,1315872000,Business Class,10.0,RATING
-2996180203100007228,-2073219511770804071,1295395200,Economy,7.0,RATING
-2996180203100007228,-6104064288230304014,1294358400,Economy,5.0,RATING
-2996180203100007228,1702322807501882135,1286668800,Economy,5.0,RATING
-2996180203100007228,5579072320682288533,1259107200,Economy,6.0,RATING
-2996180203100007228,-8475733453462365575,1243382400,Economy,7.0,RATING
-2996180203100007228,-1098453511225225672,1243296000,Economy,5.0,RATING
-198685942195013072,5394929380243395994,1438387200,Business Class,10.0,RATING
-198685942195013072,9061783342858724561,1438041600,Business Class,8.0,RATING
-198685942195013072,6058516199527623833,1437868800,Economy,9.0,RATING
-198685942195013072,-4461336070834119002,1437436800,Economy,8.0,RATING
-198685942195013072,6500623558240966294,1437436800,Economy,8.0,RATING
-198685942195013072,7007304401149082663,1436659200,Economy,10.0,RATING
-198685942195013072,-6310944521880162492,1436659200,Economy,10.0,RATING
-198685942195013072,1334107503402795039,1436227200,Business Class,10.0,RATING
-198685942195013072,-1258714288972149014,1436227200,Economy,9.0,RATING
-198685942195013072,4497020786291315884,1434758400,Economy,8.0,RATING
-198685942195013072,6442102801289014753,1434672000,Economy,8.0,RATING
-198685942195013072,-1829433983521823609,1434499200,Economy,10.0,RATING
-198685942195013072,-6453494457334352972,1434412800,Economy,9.0,RATING
-198685942195013072,8806861981386038775,1434067200,Economy,9.0,RATING
-198685942195013072,-537000895375083785,1433376000,Economy,10.0,RATING
-198685942195013072,-95231152627876048,1433376000,Economy,8.0,RATING
-198685942195013072,-5445797788193460831,1433030400,Economy,10.0,RATING
-198685942195013072,8806861981386038775,1433030400,Economy,9.0,RATING
-198685942195013072,-3177027232674178756,1433030400,Business Class,10.0,RATING
-198685942195013072,1471655901823144894,1432684800,Economy,7.0,RATING
-198685942195013072,6524276890835746118,1432684800,Economy,8.0,RATING
-198685942195013072,80430150423314604,1432080000,Economy,10.0,RATING
-198685942195013072,-3752706566449069680,1431734400,Economy,9.0,RATING
-198685942195013072,4185073678213018193,1428969600,Economy,8.0,RATING
-198685942195013072,-9059354790755481244,1428969600,Economy,2.0,RATING
-198685942195013072,1527496036666844257,1428019200,Economy,7.0,RATING
-198685942195013072,-3032063826131541694,1427500800,Economy,9.0,RATING
-1023099686133718933,6723010429730266193,1438041600,Economy,3.0,RATING
-198685942195013072,1769418996242406107,1427068800,Economy,7.0,RATING
-198685942195013072,-3177027232674178756,1426550400,Economy,9.0,RATING
-198685942195013072,4918437215130002411,1425427200,Business Class,3.0,RATING
-1023099686133718933,4742021583607707413,1437955200,Economy,5.0,RATING
-1023099686133718933,-2264405045881887279,1437955200,Economy,9.0,RATING
-1023099686133718933,-551272246294088812,1437868800,Economy,10.0,RATING
-198685942195013072,-3555101996466993809,1425427200,Business Class,3.0,RATING
-198685942195013072,4449915264582476178,1425427200,Economy,8.0,RATING
-198685942195013072,-405010968591561115,1424736000,Economy,10.0,RATING
-198685942195013072,-8291720782970729191,1424736000,Economy,8.0,RATING
-1023099686133718933,-8476582366482014466,1437868800,Economy,8.0,RATING
-1023099686133718933,-9214552566516404785,1437782400,Economy,9.0,RATING
-1023099686133718933,-3224687271259626722,1437523200,Economy,2.0,RATING
-198685942195013072,8120125224640029423,1424217600,Business Class,9.0,RATING
-198685942195013072,-8636863926271093100,1422576000,Economy,7.0,RATING
-1023099686133718933,1158313390250969549,1437436800,Economy,1.0,RATING
-1023099686133718933,-1153268213552321445,1437350400,Economy,1.0,RATING
-198685942195013072,-4144421894399985425,1419811200,Economy,7.0,RATING
-198685942195013072,-956191483669230767,1419811200,Economy,7.0,RATING
-198685942195013072,3584540671719976751,1416873600,Economy,10.0,RATING
-1023099686133718933,-7080065813723350953,1437004800,Economy,8.0,RATING
-1023099686133718933,-8987325508664692171,1437004800,Economy,7.0,RATING
-1023099686133718933,3437255001328306835,1436745600,Business Class,10.0,RATING
-198685942195013072,3818652639538407375,1416873600,Business Class,9.0,RATING
-198685942195013072,-5674212312895603484,1416873600,Business Class,9.0,RATING
-198685942195013072,-8199507331965397997,1416441600,Economy,10.0,RATING
-1023099686133718933,-1656623426989714616,1436140800,Economy,7.0,RATING
-1023099686133718933,-1640490302778079699,1434672000,Economy,10.0,RATING
-1023099686133718933,-4925369299602308863,1434067200,Economy,9.0,RATING
-198685942195013072,-8224155151786790108,1415232000,Economy,2.0,RATING
-198685942195013072,-3063605011265743526,1415145600,Economy,1.0,RATING
-198685942195013072,3582862146338297399,1414454400,Economy,2.0,RATING
-198685942195013072,5695497069725225592,1413936000,Economy,10.0,RATING
-1023099686133718933,6284285456156856714,1432080000,Economy,2.0,RATING
-1023099686133718933,8468047115644213423,1431734400,Economy,7.0,RATING
-198685942195013072,7932244827281490786,1413072000,Economy,9.0,RATING
-198685942195013072,-4185853540916182444,1413072000,Economy,9.0,RATING
-198685942195013072,3666156199364180079,1410652800,Business Class,3.0,RATING
35400463909927393,-8743666381933564541,1293753600,Economy,8.0,RATING
-1023099686133718933,-4578619368145894009,1431475200,Economy,1.0,RATING
-1023099686133718933,3681108186101843327,1431216000,Business Class,7.0,RATING
-1023099686133718933,-4444307815492391887,1430438400,Economy,10.0,RATING
-198685942195013072,8752228038288135682,1410220800,Economy,8.0,RATING
-198685942195013072,-5363380732092752899,1410220800,Economy,9.0,RATING
-198685942195013072,-4234862968370355397,1410220800,Economy,10.0,RATING
-1023099686133718933,8137258186102486703,1430352000,Business Class,10.0,RATING
-1023099686133718933,8468047115644213423,1429660800,Economy,5.0,RATING
-1023099686133718933,-648487674799116367,1429142400,Economy,2.0,RATING
-198685942195013072,7225441123108111002,1409529600,Economy,10.0,RATING
-198685942195013072,6212763696935475375,1409529600,Economy,8.0,RATING
-198685942195013072,2845935915871779213,1409529600,Economy,5.0,RATING
-1023099686133718933,-4734046111188422170,1428451200,Economy,6.0,RATING
-1023099686133718933,7661781465126250590,1428019200,Business Class,2.0,RATING
-198685942195013072,7182793234032547657,1409184000,Economy,1.0,RATING
-198685942195013072,1971080775657247796,1409011200,Business Class,9.0,RATING
-198685942195013072,7389325117107870587,1409011200,Economy,10.0,RATING
-1023099686133718933,-1327264102864078283,1428019200,Economy,2.0,RATING
-1023099686133718933,-8194176796224482708,1428019200,Economy,10.0,RATING
-1023099686133718933,6585624398838438755,1427673600,Economy,2.0,RATING
-198685942195013072,8350002255699128685,1409011200,Economy,10.0,RATING
-198685942195013072,3640983969919522983,1407715200,Business Class,10.0,RATING
-198685942195013072,-234134520593408208,1407456000,Economy,10.0,RATING
-1023099686133718933,-9046898690758676365,1427241600,Economy,10.0,RATING
-1023099686133718933,4259329881859884461,1426809600,Economy,4.0,RATING
-198685942195013072,-1010224136522696534,1407456000,Economy,5.0,RATING
-198685942195013072,9029547988510462420,1406937600,Economy,9.0,RATING
-1023099686133718933,5322350646706571689,1426809600,Economy,9.0,RATING
-1023099686133718933,-3700411948130572176,1426550400,Economy,7.0,RATING
-1023099686133718933,-5817756672301470082,1425427200,Economy,8.0,RATING
-198685942195013072,-141927288251268057,1405987200,Economy,8.0,RATING
-198685942195013072,5724792399307154555,1405555200,Economy,9.0,RATING
-198685942195013072,-6033969651202178384,1404777600,Economy,1.0,RATING
-1023099686133718933,8254380359898679279,1424217600,Business Class,10.0,RATING
-1023099686133718933,-5322633622026255816,1422230400,Economy,10.0,RATING
-198685942195013072,1007992689777923252,1404604800,Economy,4.0,RATING
-198685942195013072,8300365450963510301,1404604800,Economy,1.0,RATING
-198685942195013072,-3376058056650233059,1404604800,Economy,9.0,RATING
-198685942195013072,-6523684050691668210,1404172800,Economy,10.0,RATING
-1023099686133718933,429683938081222779,1421798400,Economy,8.0,RATING
-1023099686133718933,-4048228341002250141,1421625600,Economy,6.0,RATING
-1023099686133718933,-1689446741171823563,1421193600,Economy,8.0,RATING
8566475821201526637,6322711482015950252,1437436800,Premium Economy,8.0,RATING
-198685942195013072,-1333760466771999477,1403049600,Economy,1.0,RATING
-198685942195013072,8120125224640029423,1402876800,Economy,9.0,RATING
-198685942195013072,-6557756605037335821,1402617600,Economy,1.0,RATING
-1023099686133718933,5367693848844487115,1421193600,Economy,9.0,RATING
-1023099686133718933,-5896808840774456063,1420934400,Economy,10.0,RATING
-1023099686133718933,-8798356855870374753,1420416000,Economy,6.0,RATING
-1023099686133718933,-950305199609147778,1419811200,Economy,2.0,RATING
8566475821201526637,8217196607230701626,1437350400,Economy,7.0,RATING
8566475821201526637,4252810556589306231,1437264000,Economy,10.0,RATING
8566475821201526637,-4949467839717911441,1436227200,Economy,8.0,RATING
-198685942195013072,5563208394772682736,1402272000,Economy,10.0,RATING
-198685942195013072,-2111271958585844708,1401840000,Economy,10.0,RATING
-198685942195013072,-345576943967647261,1401840000,Economy,10.0,RATING
-1023099686133718933,2854813148898234388,1419206400,Economy,2.0,RATING
-1023099686133718933,-1809621985302383854,1418860800,Economy,5.0,RATING
-1023099686133718933,3147935677630087893,1418169600,Economy,8.0,RATING
8566475821201526637,-3215241462848474654,1435363200,Economy,3.0,RATING
8566475821201526637,8181525112752326088,1434758400,Business Class,8.0,RATING
8566475821201526637,2935715282887708124,1434499200,Economy,9.0,RATING
-198685942195013072,-1897699202852076283,1400457600,Economy,2.0,RATING
-198685942195013072,-8499065613006390026,1399161600,Economy,10.0,RATING
-1023099686133718933,-1763138643105110567,1418169600,Economy,6.0,RATING
-1023099686133718933,-5096763619281002993,1416873600,Economy,9.0,RATING
-1023099686133718933,-8218734131697308565,1415750400,Economy,10.0,RATING
8566475821201526637,-4584167674196226332,1434412800,Premium Economy,10.0,RATING
8566475821201526637,-3807521122615164092,1434412800,Economy,8.0,RATING
8566475821201526637,-1002794980101659876,1434240000,Economy,9.0,RATING
-198685942195013072,-5295309046939481869,1398816000,Economy,10.0,RATING
-198685942195013072,7403914673856315110,1397088000,Economy,10.0,RATING
-1023099686133718933,-1469223629517933347,1414713600,Economy,2.0,RATING
-1023099686133718933,6116969887681672190,1414713600,Economy,7.0,RATING
-1023099686133718933,7464316057646514797,1414713600,Business Class,10.0,RATING
8566475821201526637,-5870370553554814409,1434153600,Economy,8.0,RATING
8566475821201526637,-5080045776580213843,1434153600,Economy,7.0,RATING
8566475821201526637,-7580312340623975473,1433548800,Economy,7.0,RATING
-198685942195013072,-5363380732092752899,1393977600,Economy,10.0,RATING
-198685942195013072,-3416388929057353644,1393286400,Economy,3.0,RATING
-198685942195013072,4473190740922406818,1392940800,Economy,5.0,RATING
-1023099686133718933,-3134826284081893513,1414454400,Economy,10.0,RATING
-1023099686133718933,-2297664153256623676,1414454400,Business Class,7.0,RATING
8566475821201526637,-3080088736366628454,1433116800,Economy,8.0,RATING
8566475821201526637,-7867258287558669741,1430438400,Economy,8.0,RATING
8566475821201526637,-6827321274998377830,1429833600,Economy,1.0,RATING
-198685942195013072,1161911197368685930,1391731200,Economy,6.0,RATING
-198685942195013072,-8526222977560773786,1391126400,Business Class,9.0,RATING
-198685942195013072,-6605552637261572867,1390521600,Economy,9.0,RATING
715073372130382316,8706469396410429926,1438214400,Economy,5.0,RATING
-1023099686133718933,576106931992840917,1414454400,Economy,9.0,RATING
-1023099686133718933,-8513783737732890871,1413936000,Economy,7.0,RATING
-1023099686133718933,6017950226422691753,1413936000,Economy,9.0,RATING
-1023099686133718933,-2514104136105352007,1413936000,Business Class,10.0,RATING
8566475821201526637,7990589911668522542,1429833600,Economy,6.0,RATING
8566475821201526637,3431076450494289725,1429660800,Economy,1.0,RATING
8566475821201526637,5113587834551732244,1429401600,Economy,7.0,RATING
-198685942195013072,-3388679412401305725,1389916800,Economy,8.0,RATING
-198685942195013072,7512668919199842544,1388620800,Economy,6.0,RATING
-198685942195013072,-8282068048602518147,1387929600,Economy,1.0,RATING
715073372130382316,-3376058056650233059,1436054400,Business Class,2.0,RATING
715073372130382316,8752228038288135682,1433376000,Economy,7.0,RATING
715073372130382316,-2414647820679369492,1433030400,Economy,9.0,RATING
-1023099686133718933,576106931992840917,1413936000,Economy,9.0,RATING
-1023099686133718933,4565344576076481412,1413072000,Economy,9.0,RATING
-1023099686133718933,-2945784802694376984,1413072000,Economy,4.0,RATING
-1023099686133718933,1809041800059965621,1413072000,Economy,6.0,RATING
8566475821201526637,7813277950840402914,1428624000,Economy,10.0,RATING
8566475821201526637,-6424222145381271186,1428019200,Economy,9.0,RATING
8566475821201526637,-6299985548825356815,1427241600,Economy,4.0,RATING
-198685942195013072,4168351266350491880,1387756800,Economy,10.0,RATING
-198685942195013072,-806120023204612389,1385510400,Business Class,10.0,RATING
-198685942195013072,4961398409930041425,1384992000,Economy,10.0,RATING
715073372130382316,-6636279121424018028,1431302400,Economy,3.0,RATING
715073372130382316,-5693740782706249619,1430352000,Business Class,5.0,RATING
715073372130382316,59114378522650195,1425859200,Business Class,10.0,RATING
-1023099686133718933,-5129890428118584046,1412467200,Economy,8.0,RATING
8566475821201526637,3258378014657544899,1425859200,Economy,2.0,RATING
8566475821201526637,6814473770606107876,1425427200,Economy,6.0,RATING
-198685942195013072,8493066568758596168,1382227200,Economy,9.0,RATING
-198685942195013072,152090562759692024,1381622400,Economy,10.0,RATING
-198685942195013072,-5675000953199901557,1381622400,Economy,9.0,RATING
715073372130382316,2053379656367347007,1424736000,Economy,1.0,RATING
715073372130382316,8057836774425048976,1421625600,Economy,1.0,RATING
715073372130382316,5445725070578247382,1421193600,Business Class,8.0,RATING
715073372130382316,7913076667805037016,1419206400,Economy,10.0,RATING
-1023099686133718933,876005465021553188,1411862400,Economy,5.0,RATING
-1023099686133718933,3080684029968022113,1411516800,Economy,4.0,RATING
-1023099686133718933,3402650245484472756,1410998400,Economy,5.0,RATING
8566475821201526637,2252149981985174481,1424217600,Economy,3.0,RATING
8566475821201526637,-7706561375006035658,1424217600,Economy,9.0,RATING
8566475821201526637,-6351563217155709322,1424217600,Economy,7.0,RATING
8566475821201526637,-8138387225585130688,1424217600,Economy,8.0,RATING
-198685942195013072,4571786773090498825,1381363200,Economy,9.0,RATING
-198685942195013072,2870619290848547149,1381276800,Economy,3.0,RATING
715073372130382316,-2344754280685087142,1418169600,Premium Economy,8.0,RATING
715073372130382316,6212763696935475375,1418169600,Economy,8.0,RATING
715073372130382316,2341107781010362008,1414454400,Business Class,7.0,RATING
-1023099686133718933,8143661350402745099,1410220800,Economy,10.0,RATING
-1023099686133718933,3355738888242332676,1410220800,Economy,2.0,RATING
8566475821201526637,3077353959856224533,1421798400,Economy,8.0,RATING
8566475821201526637,-6807682117001105380,1421625600,Economy,7.0,RATING
8566475821201526637,6908621784123698066,1421625600,Economy,1.0,RATING
8566475821201526637,-3376058056650233059,1421193600,Economy,6.0,RATING
-198685942195013072,-262440133218530838,1381104000,Economy,9.0,RATING
-198685942195013072,657820540062343075,1380672000,Economy,8.0,RATING
-198685942195013072,2595582013930429584,1380585600,Economy,9.0,RATING
715073372130382316,5898873682609745837,1413072000,Business Class,7.0,RATING
715073372130382316,4547877576088914266,1409011200,Economy,2.0,RATING
715073372130382316,-5264145153253677688,1406592000,Economy,10.0,RATING
715073372130382316,8752228038288135682,1401840000,Economy,7.0,RATING
-4573627727190337998,-7371572430832259809,1436400000,Economy,10.0,RATING
-1023099686133718933,8468047115644213423,1409961600,Economy,4.0,RATING
-1023099686133718933,4871624192163682248,1409961600,Economy,7.0,RATING
8566475821201526637,8008585428377491998,1420934400,Economy,8.0,RATING
8566475821201526637,-4655832930038458518,1420934400,Economy,9.0,RATING
8566475821201526637,-4655832930038458518,1420934400,Economy,8.0,RATING
-198685942195013072,-8885610908215169414,1380585600,Economy,5.0,RATING
-198685942195013072,1227964702884471382,1380412800,Economy,10.0,RATING
-198685942195013072,-1902458482777932074,1378080000,Economy,3.0,RATING
715073372130382316,8062322902066401448,1398124800,Business Class,3.0,RATING
715073372130382316,-1197494404395759386,1397520000,Premium Economy,10.0,RATING
715073372130382316,4547877576088914266,1397433600,Economy,2.0,RATING
-4573627727190337998,634051552745228397,1436400000,Economy,8.0,RATING
-4573627727190337998,4227566027319153776,1435622400,Economy,2.0,RATING
-4573627727190337998,1453053261798936718,1435363200,First Class,1.0,RATING
-1023099686133718933,-5709112456278561961,1409961600,Economy,8.0,RATING
-1023099686133718933,3788356995456835164,1409961600,Business Class,10.0,RATING
-1023099686133718933,3440556184509730127,1409529600,Economy,5.0,RATING
-1023099686133718933,118907693172253861,1409529600,Economy,3.0,RATING
8566475821201526637,-4453193352329283567,1419206400,Economy,9.0,RATING
